"COUNTY_ID","DB_ID","STATE_ID","NAME","SIZE_CODE","ACCOUNTS","USPS_STATE_CODE"
301,0,6,"LA PLATA",9,2219,"067"
302,0,6,"LARIMER",8,14263,"069"
303,0,6,"LAS ANIMAS",9,929,"071"
304,0,6,"LINCOLN",9,377,"073"
305,0,6,"LOGAN",9,657,"075"
306,0,6,"MESA",8,1479,"077"
307,0,6,"MINERAL",9,592,"079"
308,0,6,"MOFFAT",9,416,"081"
309,0,6,"MONTEZUMA",9,1198,"083"
310,0,6,"MONTROSE",9,1198,"085"
311,0,6,"MORGAN",9,480,"087"
312,0,6,"OTERO",9,707,"089"
313,0,6,"OURAY",9,665,"091"
314,0,6,"PARK",9,1873,"093"
315,0,6,"PHILLIPS",9,225,"095"
316,0,6,"PITKIN",9,1338,"097"
317,0,6,"PROWERS",9,344,"099"
318,0,6,"PUEBLO",8,5851,"101"
319,0,6,"RIO BLANCO",9,117,"103"
320,0,6,"RIO GRANDE",9,555,"105"
321,0,6,"ROUTT",9,1904,"107"
322,0,6,"SAGUACHE",9,894,"109"
323,0,6,"SAN JUAN",9,157,"111"
324,0,6,"SAN MIGUEL",9,591,"113"
325,0,6,"SEDGWICK",9,130,"115"
326,0,6,"SUMMIT",9,1527,"117"
327,0,6,"TELLER",9,1623,"119"
328,0,6,"WASHINGTON",9,408,"121"
329,0,6,"WELD",7,17541,"123"
330,0,6,"YUMA",9,588,"125"
331,0,7,"VIP",0,1,"000"
332,0,7,"FAIRFIELD",6,11546,"001"
333,0,7,"HARTFORD",7,12704,"003"
334,0,7,"LITCHFIELD",8,3528,"005"
335,0,7,"MIDDLESEX",7,3674,"007"
336,0,7,"NEW HAVEN",6,13917,"009"
337,0,7,"NEW LONDON",8,5133,"011"
338,0,7,"TOLLAND",7,1951,"013"
339,0,7,"WINDHAM",8,2693,"015"
340,0,9,"VIP",0,0,"000"
341,0,9,"KENT",8,3546,"001"
342,0,9,"NEW CASTLE",6,7878,"003"
343,0,9,"SUSSEX",8,8599,"005"
344,0,8,"VIP",0,0,"000"
345,0,8,"DISTRICT OF COLUMBIA",6,11347,"001"
346,0,10,"VIP",0,34,"000"
347,0,10,"ALACHUA",8,5726,"001"
348,0,10,"BAKER",9,1046,"003"
349,0,10,"BAY",8,5096,"005"
350,0,10,"BRADFORD",9,209,"007"
351,0,10,"BREVARD",7,30881,"009"
352,0,10,"BROWARD",6,65413,"011"
353,0,10,"CALHOUN",9,708,"013"
354,0,10,"CHARLOTTE",8,9345,"015"
355,0,10,"CITRUS",8,7268,"017"
356,0,10,"CLAY",7,12232,"019"
357,0,10,"COLLIER",8,8261,"021"
358,0,10,"COLUMBIA",9,546,"023"
359,0,10,"DADE",6,66946,"025"
360,0,10,"DESOTO",9,87,"027"
361,0,10,"DIXIE",9,1046,"029"
362,0,10,"DUVAL",7,43321,"031"
363,0,10,"ESCAMBIA",7,16643,"033"
364,0,10,"FLAGLER",7,6042,"035"
365,0,10,"FRANKLIN",9,532,"037"
366,0,10,"GADSDEN",8,1800,"039"
367,0,10,"GILCHRIST",9,790,"041"
368,0,10,"GLADES",9,983,"043"
369,0,10,"GULF",9,211,"045"
370,0,10,"HAMILTON",9,554,"047"
371,0,10,"HARDEE",9,1320,"049"
372,0,10,"HENDRY",9,2891,"051"
373,0,10,"HERNANDO",6,3828,"053"
374,0,10,"HIGHLANDS",8,5028,"055"
375,0,10,"HILLSBOROUGH",6,26545,"057"
376,0,10,"HOLMES",9,738,"059"
377,0,10,"INDIAN RIVER",8,8144,"061"
378,0,10,"JACKSON",9,1243,"063"
379,0,10,"JEFFERSON",9,1568,"065"
380,0,10,"LAFAYETTE",9,191,"067"
381,0,10,"LAKE",7,15099,"069"
382,0,10,"LEE",7,24812,"071"
383,0,10,"LEON",8,5740,"073"
384,0,10,"LEVY",9,3027,"075"
385,0,10,"LIBERTY",9,240,"077"
386,0,10,"MADISON",9,992,"079"
387,0,10,"MANATEE",7,8187,"081"
388,0,10,"MARION",8,20347,"083"
389,0,10,"MARTIN",7,4654,"085"
390,0,10,"MIAMI-DADE",6,46054,"086"
391,0,10,"MONROE",8,10422,"087"
392,0,10,"NASSAU",7,4808,"089"
393,0,10,"OKALOOSA",8,6985,"091"
394,0,10,"OKEECHOBEE",9,2101,"093"
395,0,10,"ORANGE",7,44953,"095"
396,0,10,"OSCEOLA",7,9917,"097"
397,0,10,"PALM BEACH",7,47077,"099"
398,0,10,"PASCO",6,14125,"101"
399,0,10,"PINELLAS",6,17011,"103"
400,0,10,"POLK",7,20925,"105"
401,0,10,"PUTNAM",8,3370,"107"
402,0,10,"SAINT JOHNS",7,11522,"109"
403,0,10,"SAINT LUCIE",7,18175,"111"
