"DMA_ID","DB_ID","DMA_NUMBER","DESCRIPTION","DMA_ABBREV","DMA_SHORT_NAME","PSEUDO_DMA_TYPE","ACTUAL_DMA_ID","SERVED_STATUS","CAMC_MARKET_ID","MPG_MARKET_ID","ACCOUNTS","A3_ONLY_FLAG","MPEG4_ONLY_FLAG","LILN_PSEUDO_TABLE_FLAG","INACTIVE_FLAG","SENT_TO_CAMC_FLAG","NOTES","LAST_MOD_DATE","IS_DELETED","BILLING_SYSTEM"
161,0,611,"Rochester MN-Mason City IA-Austin MN","RT","Rochester, MN","",,0,185,160,9585,0,0,0,0,1,"",11/07/2012 07:29:39.816000000 PM,0,0
162,0,612,"Shreveport LA","SP","Shreveport","",,0,58,174,61805,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
163,0,613,"Minneapolis-St Paul MN","MN","Minneapolis","",,0,11,125,130082,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
164,0,616,"Kansas City MO","KC","Kansas City","",,0,33,100,95042,0,0,0,0,1,"",03/30/2017 09:52:13.542000000 PM,0,0
165,0,617,"Milwaukee WI","ML","Milwaukee","",,0,35,124,86364,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
166,0,618,"Houston TX","HN","Houston","",,0,8,90,358903,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
167,0,619,"Springfield MO","SR","Springfield, MO","",,0,192,179,58130,0,1,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
168,0,622,"New Orleans LA","NO","New Orleans","",,0,48,133,94496,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
169,0,623,"Dallas-Ft Worth TX","DL","Dallas","",,0,5,51,462277,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
170,0,624,"Sioux City IA","SU","Sioux City, IA","",,0,190,175,11829,0,1,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
171,0,625,"Waco-Temple-Bryan TX","WA","Waco (TX)","",,0,202,198,57514,0,1,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
172,0,626,"Victoria TX","","","",,3,201,197,3136,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
173,0,627,"Wichita Falls TX-Lawton OK","WC","Wichita FallsTX","",,0,206,204,21057,0,1,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
174,0,628,"Monroe LA-El Dorado AR","MO","Monroe-ElDorado","",,0,173,129,27822,0,1,0,0,1,"",06/28/2013 10:39:48.215000000 PM,0,0
175,0,630,"Birmingham AL","BI","Birmingham","",,0,27,22,114578,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
176,0,631,"Ottumwa IA-Kirksville MO","","","",,3,177,141,1168,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
177,0,632,"Paducah KY-Cape Girardeau MO","PD","Paducah","",,0,86,142,49724,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
178,0,633,"Odessa-Midland TX","OD","Odessa","",,0,176,137,31308,0,1,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
179,0,634,"Amarillo TX","AM","Amarillo, TX","",,0,111,7,25874,0,1,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
180,0,635,"Austin TX","AU","Austin","",,0,25,12,98252,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
181,0,636,"Harlingen-Brownsville TX","HA","Harlingen","",,0,76,83,51645,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
